1,2,550,366,0.055517,0.344508,0.161149
1,4,1100,732,0.257796,1.71962,0.149915
1,8,2200,1464,1.00366,7.84424,0.127949
1,10,2750,1830,1.60816,12.601,0.127622
1,20,5500,3660,6.20701,53.6481,0.115699
32,2,550,366,0.0560161,0.0282767,1.981
32,4,1100,732,0.257153,0.104781,2.4542
32,8,2200,1464,1.02693,0.420163,2.44412
32,10,2750,1830,1.69371,0.660852,2.56291
32,20,5500,3660,6.20418,2.83408,2.18914
32,2,550,366,0.0559363,0.0283069,1.97607
32,4,1100,732,0.256519,0.104821,2.44722
32,8,2200,1464,1.0819,0.420166,2.57492
32,10,2750,1830,1.60368,0.659739,2.43078
32,20,5500,3660,6.18769,2.82878,2.18741
32,2,550,366,0.0560932,0.0284829,1.96937
32,4,1100,732,0.258725,0.105819,2.44496
32,8,2200,1464,1.0791,0.420418,2.56674
32,10,2750,1830,1.60348,0.660282,2.42847
32,20,5500,3660,6.20057,2.82922,2.19162
32,2,550,366,0.0563289,0.0284373,1.98081
32,4,1100,732,0.256827,0.105058,2.44463
32,8,2200,1464,1.00443,0.421164,2.38488
32,10,2750,1830,1.57531,0.659165,2.38985
32,20,5500,3660,6.24663,2.8332,2.20479
32,2,550,366,0.055774,0.0283043,1.97052
32,4,1100,732,0.25733,0.104779,2.45594
32,8,2200,1464,1.00432,0.420937,2.38591
32,10,2750,1830,1.57176,0.658564,2.38665
32,20,5500,3660,6.21333,2.82839,2.19677
128,2,550,366,0.0558732,0.0209402,2.66822
128,4,1100,732,0.256089,0.0685022,3.7384
128,8,2200,1464,1.00291,0.253341,3.95874
128,10,2750,1830,1.56845,0.391422,4.00707
128,20,5500,3660,6.20995,1.54557,4.0179
128,2,550,366,0.0557236,0.0207991,2.67913
128,4,1100,732,0.256932,0.0679733,3.77989
128,8,2200,1464,1.01083,0.25317,3.99269
128,10,2750,1830,1.57132,0.392032,4.00814
128,20,5500,3660,6.24045,1.54123,4.049
128,2,550,366,0.0563251,0.0211114,2.66799
128,4,1100,732,0.25743,0.0679426,3.78893
128,8,2200,1464,1.00672,0.255795,3.93566
128,10,2750,1830,1.57116,0.390953,4.01881
128,20,5500,3660,6.19738,1.54228,4.01833
128,2,550,366,0.0557244,0.0208535,2.67218
128,4,1100,732,0.255751,0.0683939,3.73938
128,8,2200,1464,1.00503,0.253031,3.97195
128,10,2750,1830,1.57769,0.391021,4.0348
128,20,5500,3660,6.19654,1.54144,4.01997
128,2,550,366,0.0556726,0.0209029,2.6634
128,4,1100,732,0.25958,0.0685655,3.78588
128,8,2200,1464,1.00727,0.254073,3.96449
128,10,2750,1830,1.56662,0.391645,4.00011
128,20,5500,3660,6.21397,1.54356,4.02573
256,2,550,366,0.0556396,0.0211245,2.63389
256,4,1100,732,0.258584,0.0701408,3.68665
256,8,2200,1464,1.02921,0.265692,3.87371
256,10,2750,1830,1.69079,0.408836,4.13562
256,20,5500,3660,6.19223,1.60556,3.85674
256,2,550,366,0.0559302,0.021285,2.62768
256,4,1100,732,0.257669,0.0698897,3.6868
